Opening_Stock,Delivered_In,Delivered_Out,Closing_Stock,Open_Tonnage,Cancelled_Tonnage,Date
93075.0,1025.0,2825.0,91275.0,57650.0,33625.0,20250626
91275.0,100.0,750.0,90625.0,57700.0,32925.0,20250627
90625.0,1575.0,950.0,91250.0,59275.0,31975.0,20250630
91250.0,2075.0,75.0,93250.0,61350.0,31900.0,20250701
93250.0,1075.0,0.0,94325.0,62425.0,31900.0,20250702
94325.0,1000.0,50.0,95275.0,61325.0,33950.0,20250703
95275.0,2125.0,0.0,97400.0,60525.0,36875.0,20250704
97400.0,5200.0,100.0,102500.0,65400.0,37100.0,20250707
102500.0,4625.0,0.0,107125.0,68875.0,38250.0,20250708
107125.0,975.0,0.0,108100.0,67150.0,40950.0,20250709
108100.0,625.0,0.0,108725.0,67750.0,40975.0,20250710
108725.0,1075.0,175.0,109625.0,93750.0,15875.0,20250711
109625.0,2775.0,1925.0,110475.0,97850.0,12625.0,20250714
110475.0,11075.0,550.0,121000.0,108675.0,12325.0,20250715
121000.0,2650.0,1500.0,122150.0,110950.0,11200.0,20250716
122150.0,1150.0,1125.0,122175.0,108100.0,14075.0,20250717
122175.0,1500.0,1600.0,122075.0,109500.0,12575.0,20250718
122075.0,3500.0,725.0,124850.0,112600.0,12250.0,20250721
124850.0,1100.0,1125.0,124825.0,107300.0,17525.0,20250722
124825.0,1700.0,1750.0,124775.0,104925.0,19850.0,20250723
124775.0,6450.0,2750.0,128475.0,109625.0,18850.0,20250724
128475.0,500.0,1575.0,127400.0,110125.0,17275.0,20250725
127400.0,1500.0,1275.0,127625.0,108225.0,19400.0,20250728
127625.0,9350.0,125.0,136850.0,117475.0,19375.0,20250729
136850.0,3825.0,2475.0,138200.0,121225.0,16975.0,20250730
138200.0,6100.0,2550.0,141750.0,127475.0,14275.0,20250731
141750.0,25.0,2200.0,139575.0,127500.0,12075.0,20250801
139575.0,14350.0,75.0,153850.0,141850.0,12000.0,20250804
153850.0,3375.0,1100.0,156125.0,145200.0,10925.0,20250805
156125.0,475.0,600.0,156000.0,144875.0,11125.0,20250806
156000.0,0.0,150.0,155850.0,144775.0,11075.0,20250807
155850.0,300.0,450.0,155700.0,143725.0,11975.0,20250808
155700.0,0.0,700.0,155000.0,143400.0,11600.0,20250811
155000.0,975.0,100.0,155875.0,144325.0,11550.0,20250812
155875.0,625.0,650.0,155850.0,144800.0,11050.0,20250813
155850.0,0.0,50.0,155800.0,144275.0,11525.0,20250814
155800.0,0.0,200.0,155600.0,144225.0,11375.0,20250815
155600.0,0.0,450.0,155150.0,143900.0,11250.0,20250818
155150.0,1200.0,0.0,156350.0,145600.0,10750.0,20250819
156350.0,0.0,0.0,156350.0,145000.0,11350.0,20250820
156350.0,100.0,475.0,155975.0,143450.0,12525.0,20250821
155975.0,100.0,1075.0,155000.0,143250.0,11750.0,20250822
155000.0,2050.0,950.0,156100.0,142850.0,13250.0,20250826
156100.0,2000.0,150.0,157950.0,144850.0,13100.0,20250827
157950.0,1000.0,50.0,158900.0,145850.0,13050.0,20250828
158900.0,125.0,150.0,158875.0,145700.0,13175.0,20250829
158875.0,0.0,100.0,158775.0,145700.0,13075.0,20250901
158775.0,0.0,200.0,158575.0,145050.0,13525.0,20250902
158575.0,0.0,200.0,158375.0,142275.0,16100.0,20250903
158375.0,200.0,625.0,157950.0,142125.0,15825.0,20250904
157950.0,0.0,2125.0,155825.0,133625.0,22200.0,20250905
155825.0,0.0,550.0,155275.0,133325.0,21950.0,20250908
155275.0,0.0,225.0,155050.0,133325.0,21725.0,20250909
155050.0,100.0,975.0,154175.0,133325.0,20850.0,20250910
154175.0,0.0,225.0,153950.0,133225.0,20725.0,20250911
153950.0,100.0,1425.0,152625.0,135450.0,17175.0,20250912
152625.0,100.0,1775.0,150950.0,135150.0,15800.0,20250915
150950.0,175.0,1350.0,149775.0,135325.0,14450.0,20250916
149775.0,100.0,1000.0,148875.0,135425.0,13450.0,20250917
148875.0,0.0,1225.0,147650.0,133250.0,14400.0,20250918
147650.0,100.0,2375.0,145375.0,132900.0,12475.0,20250919
145375.0,200.0,600.0,144975.0,133100.0,11875.0,20250922
144975.0,0.0,200.0,144775.0,133000.0,11775.0,20250923
144775.0,100.0,450.0,144425.0,133025.0,11400.0,20250924
144425.0,2000.0,2025.0,144400.0,134075.0,10325.0,20250925
144400.0,0.0,500.0,143900.0,134025.0,9875.0,20250926
143900.0,0.0,500.0,143400.0,133725.0,9675.0,20250929
143400.0,0.0,1675.0,141725.0,133675.0,8050.0,20250930
141725.0,0.0,775.0,140950.0,133675.0,7275.0,20251001
140950.0,200.0,675.0,140475.0,133200.0,7275.0,20251002
140475.0,150.0,1075.0,139550.0,131125.0,8425.0,20251003
139550.0,0.0,125.0,139425.0,131125.0,8300.0,20251006
139425.0,0.0,225.0,139200.0,131075.0,8125.0,20251007
139200.0,325.0,50.0,139475.0,131050.0,8425.0,20251008
139475.0,0.0,75.0,139400.0,131050.0,8350.0,20251009
139400.0,150.0,200.0,139350.0,131075.0,8275.0,20251010
139350.0,0.0,550.0,138800.0,128075.0,10725.0,20251013
138800.0,300.0,750.0,138350.0,129800.0,8550.0,20251014
138350.0,0.0,900.0,137450.0,129900.0,7550.0,20251015
137450.0,0.0,225.0,137225.0,129400.0,7825.0,20251016
137225.0,50.0,100.0,137175.0,129350.0,7825.0,20251017
137175.0,0.0,25.0,137150.0,127350.0,9800.0,20251020
137150.0,250.0,550.0,136850.0,127575.0,9275.0,20251021
136850.0,200.0,125.0,136925.0,126150.0,10775.0,20251022
136925.0,300.0,875.0,136350.0,126000.0,10350.0,20251023
136350.0,0.0,375.0,135975.0,126000.0,9975.0,20251024
135975.0,0.0,1400.0,134575.0,123400.0,11175.0,20251027
134575.0,775.0,0.0,135350.0,120675.0,14675.0,20251028
135350.0,100.0,500.0,134950.0,120725.0,14225.0,20251029
134950.0,500.0,825.0,134625.0,121225.0,13400.0,20251030
134625.0,1250.0,2275.0,133600.0,122475.0,11125.0,20251031
133600.0,500.0,200.0,133900.0,122975.0,10925.0,20251103
133900.0,450.0,375.0,133975.0,123325.0,10650.0,20251104
133975.0,1100.0,600.0,134475.0,123775.0,10700.0,20251105
134475.0,1750.0,325.0,135900.0,124625.0,11275.0,20251106
135900.0,500.0,125.0,136275.0,124550.0,11725.0,20251107
136275.0,1500.0,1525.0,136250.0,126050.0,10200.0,20251110
136250.0,0.0,0.0,136250.0,126050.0,10200.0,20251111
136250.0,0.0,75.0,136175.0,126050.0,10125.0,20251112
136175.0,125.0,575.0,135725.0,126075.0,9650.0,20251113
135725.0,500.0,175.0,136050.0,126575.0,9475.0,20251114
136050.0,5000.0,550.0,140500.0,131575.0,8925.0,20251117
140500.0,18175.0,800.0,157875.0,148150.0,9725.0,20251118
157875.0,300.0,250.0,157925.0,148450.0,9475.0,20251119
157925.0,0.0,2900.0,155025.0,148400.0,6625.0,20251120
155025.0,2150.0,1425.0,155750.0,150225.0,5525.0,20251121
155750.0,1575.0,750.0,156575.0,150950.0,5625.0,20251124
156575.0,0.0,75.0,156500.0,150450.0,6050.0,20251125
156500.0,750.0,75.0,157175.0,151100.0,6075.0,20251126
157175.0,2350.0,100.0,159425.0,152850.0,6575.0,20251127
159425.0,100.0,100.0,159425.0,152950.0,6475.0,20251128
154575.0,200.0,5300.0,149475.0,110300.0,39175.0,20251229
149475.0,400.0,2450.0,147425.0,110600.0,36825.0,20251230
147425.0,0.0,2100.0,145325.0,110550.0,34775.0,20251231
145325.0,0.0,2775.0,142550.0,109900.0,32650.0,20260102
142550.0,5450.0,1925.0,146075.0,114200.0,31875.0,20260105
146075.0,0.0,2850.0,143225.0,114200.0,29025.0,20260106
143225.0,1300.0,3450.0,141075.0,115150.0,25925.0,20260107
